Date,IdxGas,ConsGas,PriceGas,IdxElec,ConsElec,PriceElec,IdxWater,ConsWater,PriceWater,PriceTotal
2012-01-01,62483.461,55.881,55.51,50747,116.0,22.14,14.4003,0.9286,2.96,80.61
2012-01-08,62541.061,57.600,57.22,50871,124.0,23.67,15.4339,1.0336,3.30,84.19
2012-01-15,62603.546,62.485,62.07,50993,122.0,23.29,16.4567,1.0228,3.26,88.62
2012-01-22,62660.512,56.966,56.59,51117,124.0,23.67,17.4041,0.9474,3.02,83.28
2012-01-29,62724.568,64.056,63.63,51242,125.0,23.86,18.3824,0.9783,3.12,90.61
2012-02-05,62808.440,83.872,83.32,51370,128.0,24.43,19.8276,1.4452,4.61,112.36
2012-02-12,62892.795,84.355,83.80,51503,133.0,25.39,21.4047,1.5771,5.03,114.22
2012-02-19,62952.321,59.526,59.13,51625,122.0,23.29,23.1678,1.7631,5.62,88.04
2012-02-26,63006.812,54.491,54.13,51735,110.0,21.00,24.8595,1.6917,5.40,80.53
2012-03-04,63047.575,40.763,40.49,51847,112.0,21.38,26.0061,1.1466,3.66,65.53
2012-03-11,63099.564,51.989,51.65,51956,109.0,20.81,27.4528,1.4467,4.61,77.07
2012-03-18,63128.366,28.802,28.61,52061,105.0,20.04,28.5261,1.0733,3.42,52.07
2012-03-25,63155.372,27.006,26.83,52154,93.0,17.75,29.7477,1.2216,3.90,48.48
2012-04-01,63178.898,23.526,23.37,52227,73.0,13.93,30.9789,1.2312,3.93,41.23
2012-04-08,63215.179,36.281,36.04,52307,80.0,15.27,31.9574,0.9785,3.12,54.43
2012-04-15,63256.397,41.218,40.95,52372,65.0,12.41,32.8359,0.8785,2.80,56.16
2012-04-22,63301.478,45.081,44.78,52458,86.0,16.42,34.3592,1.5233,4.86,66.06
2012-04-29,63332.698,31.220,31.01,52549,91.0,17.37,36.1032,1.7440,5.56,53.94
2012-05-06,63360.219,27.521,27.34,52643,94.0,17.94,37.9652,1.8620,5.94,51.22
2012-05-13,63379.538,19.319,19.19,52731,88.0,16.80,39.7012,1.7360,5.54,41.53
2012-05-20,63396.773,17.235,17.12,52807,76.0,14.51,40.8277,1.1265,3.59,35.22
2012-05-27,63403.147,6.374,6.33,52871,64.0,12.22,42.0769,1.2492,3.98,22.53
2012-06-03,63411.625,8.478,8.42,52963,92.0,17.56,43.5135,1.4366,4.58,30.56
2012-06-10,63433.082,21.457,21.32,53048,85.0,16.22,3360.5800,1.6500,5.26,42.80
2012-06-17,63449.645,16.563,16.45,53142,94.0,17.94,3362.4510,1.8710,5.97,40.36
2012-06-24,63458.037,8.392,8.34,53229,87.0,16.61,3363.4811,1.0301,3.29,28.24
2012-07-01,63461.818,3.781,3.76,53326,97.0,18.52,3365.2569,1.7758,5.66,27.94
2012-07-08,63466.120,4.302,4.27,53407,81.0,15.46,3367.0395,1.7826,5.69,25.42
2012-07-15,63466.579,0.459,0.46,53461,54.0,10.31,3367.2347,0.1952,0.62,11.39
2012-07-22,63468.058,1.479,1.47,53512,51.0,9.73,3367.3858,0.1511,0.48,11.68
2012-07-29,63470.007,1.949,1.94,53558,46.0,8.78,3367.7811,0.3953,1.26,11.98
2012-08-05,63474.129,4.122,4.09,53630,72.0,13.74,3368.9324,1.1513,3.67,21.50
2012-08-12,63477.618,3.489,3.47,53705,75.0,14.32,3370.4581,1.5257,4.87,22.66
2012-08-19,63481.544,3.926,3.90,53766,61.0,11.64,3372.2447,1.7866,5.70,21.24
2012-08-26,63483.558,2.014,2.00,53809,43.0,8.21,3372.8667,0.6220,1.98,12.19
2012-09-02,63485.571,2.013,2.00,53851,42.0,8.02,3373.4886,0.6219,1.98,12.00
2012-09-09,63489.597,4.026,4.00,53918,67.0,12.79,3374.9697,1.4811,4.72,21.51
2012-09-16,63497.210,7.613,7.56,54008,90.0,17.18,3376.6654,1.6957,5.41,30.15
2012-09-23,63511.360,14.150,14.06,54117,109.0,20.81,3378.2777,1.6123,5.14,40.01
2012-09-30,63531.112,19.752,19.62,54209,92.0,17.56,3379.7643,1.4866,4.74,41.92
2012-10-07,63547.259,16.147,16.04,54304,95.0,18.13,3381.1812,1.4169,4.52,38.69
2012-10-14,63578.618,31.359,31.15,54394,90.0,17.18,3382.5001,1.3189,4.21,52.54
2012-10-21,63597.519,18.901,18.78,54479,85.0,16.22,3383.7462,1.2461,3.98,38.98
2012-10-28,63622.192,24.673,24.51,54583,104.0,19.85,3385.2521,1.5059,4.80,49.16
2012-11-04,63651.777,29.585,29.39,54673,90.0,17.18,3386.4133,1.1612,3.70,50.27
2012-11-11,63695.510,43.733,43.45,54781,108.0,20.62,3387.7248,1.3115,4.18,68.25
2012-11-18,63736.968,41.458,41.19,54892,111.0,21.19,3389.1322,1.4074,4.49,66.87
2012-11-25,63781.145,44.177,43.89,54993,101.0,19.28,3390.3863,1.2541,4.00,67.17
2012-12-02,63834.207,53.062,52.71,55106,113.0,21.57,3392.0537,1.6674,5.32,79.60
2012-12-09,63903.025,68.818,68.37,55232,126.0,24.05,3393.7943,1.7406,5.55,97.97
2012-12-16,63973.283,70.258,69.80,55351,119.0,22.71,3395.4707,1.6764,5.35,97.86
2012-12-23,64021.321,48.038,47.72,55473,122.0,23.29,3397.2581,1.7874,5.70,76.71
2012-12-30,64066.641,45.320,45.02,55584,111.0,21.19,3398.5530,1.2949,4.13,70.34
2013-01-06,64105.845,39.204,38.95,55705,121.0,23.10,3400.1315,1.5785,5.04,67.09
2013-01-13,64163.979,58.134,57.75,55825,120.0,22.91,3401.8008,1.6693,5.33,85.99
2013-01-20,64247.799,83.820,83.27,55958,133.0,25.39,3403.4482,1.6474,5.26,113.92
2013-01-27,64322.738,74.939,74.45,56079,121.0,23.10,3404.9088,1.4606,4.66,102.21
2013-02-03,64371.372,48.634,48.31,56194,115.0,21.95,3406.2452,1.3364,4.26,74.52
2013-02-10,64436.044,64.672,64.25,56299,105.0,20.04,3407.6326,1.3874,4.43,88.72
2013-02-17,64512.879,76.835,76.33,56417,118.0,22.52,3409.0884,1.4558,4.64,103.49
2013-02-24,64581.445,68.566,68.11,56493,76.0,14.51,3409.5302,0.4418,1.41,84.03
2013-03-03,64651.952,70.507,70.04,56609,116.0,22.14,3411.0860,1.5558,4.96,97.14
2013-03-10,64691.221,39.269,39.01,56716,107.0,20.42,3412.5580,1.4720,4.70,64.13
2013-03-17,64755.888,64.667,64.24,56824,108.0,20.62,3414.1156,1.5576,4.97,89.83
2013-03-24,64812.815,56.927,56.55,56934,110.0,21.00,3415.5322,1.4166,4.52,82.07
2013-03-31,64873.204,60.389,59.99,57039,105.0,20.04,3417.1537,1.6215,5.17,85.20
2013-04-07,64923.041,49.837,49.51,57157,118.0,22.52,3418.9236,1.7699,5.65,77.68
2013-04-14,64954.097,31.056,30.85,57278,121.0,23.10,3420.5213,1.5977,5.10,59.05
2013-04-21,64968.871,14.774,14.68,57376,98.0,18.71,3422.0384,1.5171,4.84,38.23
2013-04-28,64984.138,15.267,15.17,57473,97.0,18.52,3423.6496,1.6112,5.14,38.83
2013-05-05,64997.818,13.680,13.59,57569,96.0,18.32,3425.1626,1.5130,4.83,36.74
2013-05-12,65009.107,11.289,11.21,57653,84.0,16.03,3426.6881,1.5255,4.87,32.11
2013-05-19,65029.941,20.834,20.70,57755,102.0,19.47,3428.1551,1.4670,4.68,44.85
2013-05-26,65053.095,23.154,23.00,57861,106.0,20.23,3430.1315,1.9764,6.30,49.53
2013-06-02,65066.536,13.441,13.35,57945,84.0,16.03,3431.6893,1.5578,4.97,34.35
2013-06-09,65074.629,8.093,8.04,58021,76.0,14.51,3433.2775,1.5882,5.07,27.62
2013-06-16,65082.295,7.666,7.62,58100,79.0,15.08,3434.9883,1.7108,5.46,28.16
2013-06-23,65089.888,7.593,7.54,58180,80.0,15.27,3436.6706,1.6823,5.37,28.18
2013-06-30,65100.088,10.200,10.13,58263,83.0,15.84,3438.1435,1.4729,4.70,30.67
2013-07-07,65106.190,6.102,6.06,58331,68.0,12.98,3439.2715,1.1280,3.60,22.64
2013-07-14,65108.601,2.411,2.40,58379,48.0,9.16,3439.4064,0.1349,0.43,11.99
2013-07-21,65111.011,2.410,2.39,58427,48.0,9.16,3439.5412,0.1348,0.43,11.98
2013-07-28,65116.236,5.225,5.19,58500,73.0,13.93,3441.4317,1.8905,6.03,25.15
2013-08-04,65122.359,6.123,6.08,58559,59.0,11.26,3443.0601,1.6284,5.19,22.53
2013-08-11,65127.958,5.599,5.56,58629,70.0,13.36,3444.3167,1.2566,4.01,22.93
2013-08-18,65134.244,6.286,6.24,58708,79.0,15.08,3445.7062,1.3895,4.43,25.75
